"","p","df_1_2","df_1_3","s","support","confidence","lift","count"
"132","I43",NA,NA,"I44",0.0579192837821504,0.348546260810241,2.10591991693282,69482
"133","I44",NA,NA,"I32",0.0577967465103969,0.349208507723534,2.10466350907042,69335
"134","I32",NA,NA,"I44",0.0577967465103969,0.348338315456304,2.10466350907042,69335
"135","I44",NA,NA,"I21",0.0577042183664198,0.34864945177261,2.10225522018776,69224
"136","I21",NA,NA,"I44",0.0577042183664198,0.347939724760497,2.10225522018776,69224
"137","I44",NA,NA,"I39",0.0577542335793804,0.348951644178515,2.10419369198259,69284
"138","I39",NA,NA,"I44",0.0577542335793804,0.348260557043977,2.10419369198259,69284
"139","I44",NA,NA,"I41",0.0578142518349331,0.349314275065601,2.10242794326787,69356
"140","I41",NA,NA,"I44",0.0578142518349331,0.347968311784745,2.10242794326787,69356
"141","I44",NA,NA,"I36",0.0579467921492787,0.350115084941249,2.10636009811132,69515
"142","I36",NA,NA,"I44",0.0579467921492787,0.34861911424717,2.10636009811132,69515
"143","I44",NA,NA,"I48",0.0580343187719598,0.350643921651582,2.11220045669343,69620
"144","I48",NA,NA,"I44",0.0580343187719598,0.349585739392418,2.11220045669343,69620
"145","I44",NA,NA,"I23",0.057832590746352,0.349425078947766,2.10266231896138,69378
"146","I23",NA,NA,"I44",0.057832590746352,0.348007102799988,2.10266231896138,69378
"147","I44",NA,NA,"I45",0.0577300595597828,0.348805584515661,2.1005360650806,69255
"148","I45",NA,NA,"I44",0.0577300595597828,0.347655191108702,2.1005360650806,69255
"149","I44",NA,NA,"I35",0.0578734365036032,0.349671869412588,2.10417904272665,69427
"150","I35",NA,NA,"I44",0.0578734365036032,0.348258132477239,2.10417904272665,69427
"151","I44",NA,NA,"I40",0.0579851371458819,0.350346765785776,2.11016675138407,69561
"152","I40",NA,NA,"I44",0.0579851371458819,0.349249145215466,2.11016675138407,69561
"153","I44",NA,NA,"I37",0.0578901082412567,0.349772600214557,2.10405695030884,69447
"154","I37",NA,NA,"I44",0.0578901082412567,0.348237925224647,2.10405695030884,69447
"155","I44",NA,NA,"I42",0.0578826059593126,0.349727271353671,2.10178181475428,69438
"156","I42",NA,NA,"I44",0.0578826059593126,0.347861372448826,2.10178181475428,69438
"157","I44",NA,NA,"I28",0.0580484897489653,0.350729542833255,2.10976054193107,69637
"158","I28",NA,NA,"I44",0.0580484897489653,0.349181914365514,2.10976054193107,69637
"159","I44",NA,NA,"I49",0.0581376835454117,0.351268452623786,2.11286454289134,69744
